cart_id,product_id,seller_id,quantity,price_at_addition,added_at,additional_data
0,242,53,1,27.89,2025-04-12 16:34:02.348790,"{'saved_for_later': False, 'gift_wrap': True, 'custom_message': None, 'coupon_applied': True, 'coupon_discount': 0}"
0,144,497,2,16.49,2025-04-15 16:34:02.348799,"{'saved_for_later': False, 'gift_wrap': False, 'custom_message': None, 'coupon_applied': False, 'coupon_discount': 0}"
0,623,59,2,8.79,2025-04-11 16:34:02.348803,"{'saved_for_later': False, 'gift_wrap': False, 'custom_message': None, 'coupon_applied': False, 'coupon_discount': 0}"
1,928,38,1,6.91,2025-04-14 16:34:02.348808,"{'saved_for_later': False, 'gift_wrap': False, 'custom_message': None, 'coupon_applied': False, 'coupon_discount': 0.19}"
2,737,23,1,1943.99,2025-04-16 16:34:02.348813,"{'saved_for_later': False, 'gift_wrap': False, 'custom_message': None, 'coupon_applied': False, 'coupon_discount': 0}"
2,243,192,1,112.49,2025-04-17 16:34:02.348817,"{'saved_for_later': False, 'gift_wrap': False, 'custom_message': None, 'coupon_applied': False, 'coupon_discount': 0}"
3,489,37,1,119.99,2025-04-17 16:34:02.348821,"{'saved_for_later': False, 'gift_wrap': False, 'custom_message': None, 'coupon_applied': False, 'coupon_discount': 0}"
4,849,0,1,719.99,2025-04-16 16:34:02.348826,"{'saved_for_later': False, 'gift_wrap': False, 'custom_message': '留言作为还是汽车的是手机市场.', 'coupon_applied': True, 'coupon_discount': 0}"
4,992,348,1,77.35,2025-04-12 16:34:02.348847,"{'saved_for_later': False, 'gift_wrap': False, 'custom_message': None, 'coupon_applied': False, 'coupon_discount': 0}"
4,678,66,1,591.51,2025-04-08 16:34:02.348851,"{'saved_for_later': False, 'gift_wrap': False, 'custom_message': 'シェービングトーン欠乏証言する符号画面オークション。', 'coupon_applied': True, 'coupon_discount': 0.11}"
4,398,51,1,22.8,2025-04-13 16:34:02.348862,"{'saved_for_later': False, 'gift_wrap': False, 'custom_message': 'Growth pick together early from exactly.', 'coupon_applied': False, 'coupon_discount': 0}"
4,895,11,1,60.99,2025-04-15 16:34:02.348873,"{'saved_for_later': False, 'gift_wrap': False, 'custom_message': None, 'coupon_applied': True, 'coupon_discount': 0}"
5,106,109,1,827.41,2025-04-14 16:34:02.348878,"{'saved_for_later': False, 'gift_wrap': False, 'custom_message': None, 'coupon_applied': False, 'coupon_discount': 0}"
