inventory_id,seller_id,product_id,quantity,unit_price,created_at,updated_at,additional_data
0,463,680,0,19.18,2024-10-23 16:34:02.093848,2025-05-02 16:34:02.093848,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2024-12-24', 'price': 15.22}, {'date': '2025-03-02', 'price': 17.15}, {'date': '2025-03-25', 'price': 19.18}], 'restock_date': '2025-04-22', 'discount_percent': 0, 'minimum_order_quantity': 3}"
1,290,865,0,823.81,2024-12-04 16:34:02.093899,2025-04-25 16:34:02.093899,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2025-02-06', 'price': 1001.77}, {'date': '2025-03-21', 'price': 823.81}], 'restock_date': '2025-05-01', 'discount_percent': 0, 'minimum_order_quantity': 1}"
2,115,262,0,60.99,2023-07-01 16:34:02.093918,2023-07-01 16:34:02.093918,"{'stock_pattern': 'out_of_stock', 'price_history': [], 'restock_date': '2025-05-01', 'discount_percent': 22, 'minimum_order_quantity': 1}"
3,59,623,34,10.99,2023-08-15 16:34:02.093942,2023-08-15 16:34:02.093942,"{'stock_pattern': 'normal', 'price_history': [], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
4,245,660,24,46.99,2023-05-12 16:34:02.093957,2023-05-12 16:34:02.093957,"{'stock_pattern': 'normal', 'price_history': [], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
5,486,54,45,301.09,2024-02-07 16:34:02.093964,2024-09-05 16:34:02.093964,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-03-11', 'price': 196.15}, {'date': '2024-05-24', 'price': 250.53}, {'date': '2024-08-06', 'price': 235.16}, {'date': '2024-09-05', 'price': 301.09}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
6,449,922,0,610.94,2024-04-04 16:34:02.093993,2024-06-09 16:34:02.093993,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2024-06-09', 'price': 610.94}], 'restock_date': '2025-04-23', 'discount_percent': 13, 'minimum_order_quantity': 1}"
7,6,563,0,269.99,2025-03-09 16:34:02.094011,2025-03-09 16:34:02.094011,"{'stock_pattern': 'out_of_stock', 'price_history': [], 'restock_date': '2025-04-25', 'discount_percent': 0, 'minimum_order_quantity': 1}"
8,59,774,99,2739.99,2024-12-25 16:34:02.094031,2024-12-25 16:34:02.094031,"{'stock_pattern': 'overstocked', 'price_history': [], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
9,83,871,40,5.5,2024-03-31 16:34:02.094048,2024-03-31 16:34:02.094048,"{'stock_pattern': 'normal', 'price_history': [], 'restock_date': None, 'discount_percent': 5, 'minimum_order_quantity': 1}"
10,77,48,19,127.89,2024-12-21 16:34:02.094053,2025-05-16 16:34:02.094053,"{'stock_pattern': 'normal', 'price_history': [{'date': '2025-02-16', 'price': 127.89}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
11,3,954,6,149.99,2023-11-01 16:34:02.094072,2023-11-01 16:34:02.094072,"{'stock_pattern': 'limited', 'price_history': [], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
