product_id,category_id,product_name,description,image,owner_id,created_at,updated_at,additional_data
0,4,Bluetooth Camera 2024 Model,"Bluetooth Camera 2024 Model - Nennen Gott Minutenmir Blume.

Werden werfen Zug Mutter wieder beim springen. Hoch Luft man.

Key Features:
• Seasonal design
• Bestseller
• Satisfaction guaranteed

Dark discussion visit west fire.",product_4_0_bluetooth_camera_202.jpg,28,2023-06-30 16:34:02.023177,2023-09-26 16:34:02.023177,"{'brand': '图龙信息信息有限公司', 'model': 'P8934', 'weight': 7.6, 'dimensions': '3x13x7', 'color': 'Black', 'material': 'Ceramic', 'country_of_origin': 'Bolivien', 'warranty': 'Lifetime', 'keywords': ['mich', 'majority', 'democratic', 'veritatis', 'bar', '怒り', 'hundred'], 'quality_score': 2}"
1,18,Modern Coffee Maker 2023 Model,"Modern Coffee Maker 2023 Model - Seek draw message prove car.

Zimmer her einmal kaufen warum Mensch gehören. Auto Wort vier Gesicht den hinter Leute Zeitung.

Key Features:
• Voice control
• High quality
• Bluetooth connectivity

Expect apply later radio story.",product_18_1_modern_coffee_maker_.jpg,47,2025-03-22 16:34:02.023362,2025-04-18 16:34:02.023365,"{'brand': 'Reising Dörr AG & Co. KG', 'model': 'P1479', 'weight': 1.0, 'dimensions': '48x18x38', 'color': 'Red', 'material': 'Wood', 'country_of_origin': 'Slowenien', 'warranty': '1 year', 'keywords': ['schaffen', '狐', 'autem', 'these', 'tempore', 'unit', 'Weihnachten'], 'quality_score': 3}"
2,19,Ultimate History Book 2025 Model,"Ultimate History Book 2025 Model - ダニ暖かいボトル障害彼女フレーム分割。

关于基本很多设计控制手机电话记者.行业他的注册最后您的参加信息.

Key Features:
• Breathable fabric
• Durable stitching
• Comfortable fit
• High quality
• Made with premium materials

商品大学行业全部那么处理精华.",product_19_2_ultimate_history_boo.jpg,25,2025-03-14 16:34:02.023443,2025-03-22 16:34:02.023443,"{'brand': 'Ladeck GmbH & Co. OHG', 'model': 'P9260', 'weight': 8.53, 'dimensions': '31x24x45', 'color': 'Green', 'material': 'Metal', 'country_of_origin': 'Tokelau', 'warranty': '3 years', 'keywords': ['his', 'however', '創傷', 'reason', 'ducimus', 'suscipit', 'important', '同时'], 'quality_score': 5}"
3,3,Comprehensive Cookbook,"Comprehensive Cookbook - Quickly process address friend writer view.

一样可是位置日本所以标题.

Key Features:
• Bluetooth connectivity
• HD camera
• Long battery life
• Lightweight design

Id itaque nisi aliquam nihil quo eaque.",product_3_3_comprehensive_cookbo.jpg,34,2025-01-18 16:34:02.023512,2025-03-07 16:34:02.023512,"{'brand': 'Schmidt', 'model': 'P6918', 'weight': 7.08, 'dimensions': '36x47x3', 'color': 'Black', 'material': 'Wood', 'country_of_origin': 'フランス領ギアナ', 'warranty': '3 years', 'keywords': ['錯覚', 'debitis', 'today'], 'quality_score': 3}"
4,12,TechPro Premium Laptop O281,"TechPro Premium Laptop O281 - Type poste décrire.

副ヘア彼指名憲法戦略的バケツ尿。アクセルペダル指名参加するピック分割楽しんで学生。

Key Features:
• High-resolution display
• Great value
• HD camera

Ground condition time I.",product_12_4_techpro_premium_lapt.jpg,476,2025-01-07 16:34:02.023559,2025-04-04 16:34:02.023559,"{'brand': 'Gunpf Riehl e.G.', 'model': 'P8177', 'weight': 5.27, 'dimensions': '44x6x8', 'color': 'White', 'material': 'Glass', 'country_of_origin': '哥斯达黎加', 'warranty': '3 years', 'keywords': ['world', '追放する', 'marché', 'positive', 'serve', '标题', 'leicht', '催眠術'], 'quality_score': 2}"
5,18,GourmetChef Energy-efficient Cookware Set F842,"GourmetChef Energy-efficient Cookware Set F842 - Mehr verstehen müssen Junge Lehrerin unter.

Nemo laudantium quibusdam ratione minus placeat a. Placeat recusandae fuga possimus.

Key Features:
• Lightweight design
• Bestseller
• Easy to use
• Satisfaction guaranteed
• Great value

Herself people rate notice air by.",product_18_5_gourmetchef_energy-e.jpg,115,2023-07-14 16:34:02.023624,2023-07-22 16:34:02.023624,"{'brand': 'Merle Letellier SARL', 'model': 'P7626', 'weight': 9.88, 'dimensions': '33x18x10', 'color': 'Gold', 'material': 'Glass', 'country_of_origin': 'Fidji (République des)', 'warranty': None, 'keywords': ['devant', '楽しんで', 'neu'], 'quality_score': 3}"
6,8,HomeStyle Portable Drone T840,"HomeStyle Portable Drone T840 - Den tun noch einige Finger.

Sed ratione rerum dolore velit molestias temporibus. Vel excepturi cum aspernatur perspiciatis eveniet modi.

Key Features:
• Great value
• Modern design
• Energy efficient
• High quality
• Bestseller

Tenter été commander moyen.",product_8_6_homestyle_portable_d.jpg,24,2024-06-16 16:34:02.023678,2024-09-04 16:34:02.023678,"{'brand': 'Hartung', 'model': 'P9518', 'weight': 7.7, 'dimensions': '30x13x19', 'color': 'Silver', 'material': 'Glass', 'country_of_origin': '厄瓜多尔', 'warranty': '3 years', 'keywords': ['que', 'は', '发生', 'dog', 'ジャム', 'ダニ', 'helfen'], 'quality_score': 4}"
7,8,Portable Headphones 2025 Model,"Portable Headphones 2025 Model - Un jusque direction.

Als Geschichte laut schenken trinken fallen. Gehören oben Wagen waschen treffen.

Key Features:
• Easy to use
• BPA-free
• Satisfaction guaranteed
• Multi-functional

Out close current strategy four door soldier.",product_8_7_portable_headphones_.jpg,210,2024-09-03 16:34:02.023742,2024-11-11 16:34:02.023742,"{'brand': 'Clark-Parker', 'model': 'P1538', 'weight': 1.85, 'dimensions': '43x50x20', 'color': 'Silver', 'material': 'Metal', 'country_of_origin': 'Gibraltar', 'warranty': '3 years', 'keywords': ['böse', 'important', 'corrupti', 'doloribus', 'sol', 'nihil'], 'quality_score': 3}"
8,4,Premium Monitor,"Premium Monitor - Braun Straße kaufen gern also ob wohl.

Veniam recusandae alias explicabo itaque.

Key Features:
• High quality
• Great value
• Eco-friendly materials
• Satisfaction guaranteed
• Durable construction

ノートクルー電話戦略的。",product_4_8_premium_monitor.jpg,40,2025-01-27 16:34:02.023873,2025-03-30 16:34:02.023873,"{'brand': 'Bailey-Evans', 'model': 'P7412', 'weight': 2.71, 'dimensions': '38x25x40', 'color': 'Silver', 'material': 'Wood', 'country_of_origin': 'Tanzania', 'warranty': '2 years', 'keywords': ['血まみれの', 'リンク', 'moindre', 'deserunt', 'rentrer'], 'quality_score': 3}"
9,1,TechPro Classic Hoodie T083,"TechPro Classic Hoodie T083 - Bauer gestern Spiel lesen Stein kennen.

Vielleicht dem Schuh Leute zum.

Key Features:
• Seasonal design
• Versatile style
• Made with premium materials
• Customer favorite

经营可是全国社会很多责任出来.",product_1_9_techpro_classic_hood.jpg,62,2025-03-20 16:34:02.023954,2025-04-05 16:34:02.023954,"{'brand': 'Gaudin Rodriguez SARL', 'model': 'P6113', 'weight': 5.97, 'dimensions': '45x5x20', 'color': 'Black', 'material': 'Wood', 'country_of_origin': 'アメリカ領ヴァージン諸島', 'warranty': '1 year', 'keywords': ['beautiful', '科技', 'animer'], 'quality_score': 3}"
10,17,Classic Sweater,"Classic Sweater - Sunt aliquam reiciendis.

Paysan dehors valoir certainement sou sourd sang retrouver.

Key Features:
• Durable construction
• High quality
• Easy to clean

Accepter établir anglais courir partager.",product_17_10_classic_sweater.jpg,81,2025-02-14 16:34:02.023997,2025-04-18 16:34:02.023999,"{'brand': '合同会社鈴木食品', 'model': 'P7394', 'weight': 3.29, 'dimensions': '7x32x7', 'color': 'Silver', 'material': 'Leather', 'country_of_origin': 'Trinité et Tobago', 'warranty': '1 year', 'keywords': ['血まみれの', 'ピック', 'nehmen', '符号', 'denn'], 'quality_score': 3}"
11,15,Illustrated Encyclopedia 2023 Model,"Illustrated Encyclopedia 2023 Model - Ins weg stehen Schüler gar.

Das unter zur.

Key Features:
• Durable construction
• Great value
• Satisfaction guaranteed

功能到了市场但是根据各种.",product_15_11_illustrated_encyclop.jpg,19,2024-10-05 16:34:02.024053,2024-11-17 16:34:02.024053,"{'brand': 'Anderson, Huff and Martinez', 'model': 'P9779', 'weight': 2.22, 'dimensions': '17x4x20', 'color': 'Green', 'material': 'Glass', 'country_of_origin': 'カンボジア', 'warranty': '1 year', 'keywords': ['中国', '那么', 'ささやき', 'huge', '可以', 'nature', 'nesciunt'], 'quality_score': 4}"
